Date,ozone,AOD,year,month,day
161012,253.955,0.136,2016,10,12
161013,250.811,0.066,2016,10,13
161014,253.955,0.154,2016,10,14
161015,247.856,0.098,2016,10,15
161016,253.955,0.234,2016,10,16
161017,241.7,0.099,2016,10,17
161018,253.955,0.154,2016,10,18
161019,253.955,0.134,2016,10,19
161020,258.978,0.175,2016,10,20
161021,253.955,0.154,2016,10,21
161022,249.6,0.085,2016,10,22
161023,253.955,0.154,2016,10,23
161024,245.833,0.154,2016,10,24
161025,253.955,0.295,2016,10,25
161026,239.0,0.154,2016,10,26
161027,257.944,0.236,2016,10,27
161028,253.955,0.211,2016,10,28
161029,267.411,0.087,2016,10,29
161030,253.955,0.154,2016,10,30
161031,266.544,0.069,2016,10,31
161101,251.632,0.433,2016,11,1
161102,256.367,0.106,2016,11,2
161103,254.4,0.281,2016,11,3
161104,251.632,0.14,2016,11,4
161105,249.8,0.14,2016,11,5
161106,251.632,0.14,2016,11,6
161107,235.844,0.14,2016,11,7
161108,251.632,0.14,2016,11,8
161109,254.0,0.14,2016,11,9
161110,251.632,0.14,2016,11,10
161111,266.978,0.14,2016,11,11
161112,257.311,0.14,2016,11,12
161113,251.632,0.14,2016,11,13
161114,255.578,0.14,2016,11,14
161115,251.632,0.14,2016,11,15
161116,271.244,0.062,2016,11,16
161117,251.632,0.14,2016,11,17
161118,265.067,0.084,2016,11,18
161119,251.632,0.14,2016,11,19
161120,251.632,0.114,2016,11,20
161121,244.378,0.086,2016,11,21
161122,251.632,0.14,2016,11,22
161123,241.211,0.081,2016,11,23
161124,251.632,0.14,2016,11,24
161125,247.633,0.08,2016,11,25
161126,251.632,0.238,2016,11,26
161127,236.522,0.087,2016,11,27
161128,234.556,0.099,2016,11,28
161129,251.632,0.132,2016,11,29
161130,255.222,0.083,2016,11,30
161201,243.019,0.109,2016,12,1
161202,251.5,0.032,2016,12,2
161203,243.019,0.109,2016,12,3
161204,244.333,0.109,2016,12,4
161205,243.911,0.109,2016,12,5
161206,243.019,0.094,2016,12,6
161207,242.267,0.077,2016,12,7
161208,243.019,0.109,2016,12,8
161209,238.222,0.109,2016,12,9
161210,243.019,0.109,2016,12,10
161211,257.6,0.102,2016,12,11
161212,243.019,0.179,2016,12,12
161213,248.044,0.078,2016,12,13
161214,231.922,0.069,2016,12,14
161215,243.019,0.109,2016,12,15
161216,247.889,0.053,2016,12,16
161217,243.019,0.109,2016,12,17
161218,239.111,0.052,2016,12,18
161219,243.019,0.109,2016,12,19
161220,243.533,0.109,2016,12,20
161221,243.019,0.109,2016,12,21
161222,243.019,0.129,2016,12,22
161223,255.489,0.074,2016,12,23
161224,243.019,0.109,2016,12,24
161225,243.844,0.08,2016,12,25
161226,243.019,0.109,2016,12,26
161227,245.433,0.109,2016,12,27
161228,243.019,0.307,2016,12,28
161229,229.656,0.214,2016,12,29
161230,226.733,0.109,2016,12,30
161231,241.844,0.093,2016,12,31
170101,247.815,0.119,2017,1,1
170102,252.389,0.019,2017,1,2
170103,247.815,0.119,2017,1,3
170104,244.767,0.124,2017,1,4
170105,248.756,0.111,2017,1,5
170106,247.815,0.116,2017,1,6
170107,269.744,0.08,2017,1,7
170108,247.815,0.119,2017,1,8
170109,259.6,0.025,2017,1,9
170110,247.815,0.119,2017,1,10
170111,259.633,0.041,2017,1,11
170112,247.815,0.278,2017,1,12
170113,239.467,0.119,2017,1,13
170114,237.844,0.119,2017,1,14
170115,247.815,0.132,2017,1,15
170116,233.278,0.119,2017,1,16
170117,247.815,0.119,2017,1,17
170118,235.311,0.119,2017,1,18
170119,247.815,0.144,2017,1,19
170120,257.833,0.168,2017,1,20
170121,247.815,0.119,2017,1,21
170122,247.815,0.119,2017,1,22
170123,239.222,0.221,2017,1,23
170124,247.815,0.119,2017,1,24
170125,245.1,0.121,2017,1,25
170126,247.815,0.119,2017,1,26
170127,254.033,0.07,2017,1,27
170128,247.815,0.119,2017,1,28
170129,240.311,0.119,2017,1,29
170130,247.756,0.134,2017,1,30
170131,247.815,0.119,2017,1,31
170201,255.189,0.133,2017,2,1
170202,250.158,0.141,2017,2,2
170203,231.611,0.115,2017,2,3
170204,250.158,0.141,2017,2,4
170205,234.1,0.121,2017,2,5
170206,239.511,0.192,2017,2,6
170207,250.158,0.133,2017,2,7
170208,245.822,0.106,2017,2,8
170209,250.158,0.141,2017,2,9
170210,243.333,0.057,2017,2,10
